variant,strategy,tier,dev_n,dev_clv_pts,dev_clv_prob_pp,dev_ev_pct,dev_ev_z,dev_win_pct,dev_flat_roi_pct,y2025_n,y2025_clv_pts,y2025_clv_prob_pp,y2025_ev_pct,y2025_flat_roi_pct,kelly_2024_track_pp,kelly_2024_bets,kelly_2024_expected_growth_pct,kelly_2024_realized_growth_pct,kelly_2025_track_pp,kelly_2025_bets,kelly_2025_expected_growth_pct,kelly_2025_realized_growth_pct,dev_ev_holm_pass
best_book,totals|C|kmulti_minus_field_position_total,prior_week,557,0.9174,2.5126,0.7435,1.5789,55.6985,6.5286,277,0.7635,2.1587,-1.4005,-1.7738,2.7347,259,0.0771,11.8079,2.5126,203,-0.0746,3.0113,False
best_book,totals|A|wired_W9_total,prior_week,557,0.8537,2.3278,0.3605,0.6551,53.3821,2.2095,277,0.3538,0.9825,-2.82,0.0929,2.457,253,0.1984,5.9283,2.3278,58,-0.1969,-0.3695,False
reference,spreads|B|market_anchor,opener,0,,,,,,,0,,,,,,0,0.0,0.0,,0,0.0,0.0,False
reference,spreads|C|market_anchor,opener,0,,,,,,,0,,,,,,0,0.0,0.0,,0,0.0,0.0,False
reference,spreads|A|wired_W1,prior_week,204,0.0931,0.3264,-4.2541,-5.3315,47.7387,-8.634,200,0.17,0.6461,-2.9981,-5.1787,,0,0.0,0.0,0.3264,0,0.0,0.0,False
reference,spreads|B|wired_W1,prior_week,204,0.0392,0.1198,-4.4778,-5.4971,49.7487,-4.7641,200,0.34,1.2169,-1.3817,-5.3703,,0,0.0,0.0,0.1198,0,0.0,0.0,False
reference,spreads|C|wired_W1,prior_week,204,0.0392,0.1198,-4.4778,-5.4971,49.7487,-4.7641,200,0.34,1.2169,-1.3817,-5.3703,,0,0.0,0.0,0.1198,0,0.0,0.0,False
reference,spreads|A|wired_W8,prior_week,204,0.2402,0.848,-3.1463,-2.9058,49.2462,-5.7982,200,0.165,0.5834,-3.4039,-1.5549,,0,0.0,0.0,0.848,0,0.0,0.0,False
reference,spreads|B|wired_W8,prior_week,204,0.0392,0.1198,-4.4778,-5.4971,49.7487,-4.7641,200,0.285,1.0075,-1.5557,-8.1391,,0,0.0,0.0,0.1198,0,0.0,0.0,False
reference,spreads|C|wired_W8,prior_week,204,0.0392,0.1198,-4.4778,-5.4971,49.7487,-4.7641,200,0.32,1.162,-1.9342,0.2979,,0,0.0,0.0,0.1198,0,0.0,0.0,False
reference,totals|A|kmulti_field_position_total,prior_week,557,0.1122,0.3096,-3.9279,-9.788,50.4587,-3.6248,277,-0.0397,-0.0913,-4.6581,-6.1163,0.2253,0,0.0,0.0,0.3096,0,0.0,0.0,False
reference,totals|A|kmulti_full_total,prior_week,557,0.2253,0.621,-3.3177,-7.6963,50.2752,-3.9184,277,0.1949,0.545,-3.4956,0.8231,0.5786,0,0.0,0.0,0.621,0,0.0,0.0,False
reference,totals|B|kmulti_full_total,prior_week,557,0.3474,0.9703,-2.5931,-5.7781,53.7615,2.5765,277,-0.0758,-0.2253,-4.831,-10.9287,1.1287,0,0.0,0.0,0.9703,0,0.0,0.0,False
reference,totals|A|kmulti_minus_drives_total,prior_week,557,0.2253,0.621,-3.3177,-7.6963,50.2752,-3.9184,277,0.1949,0.545,-3.4956,0.8231,0.5786,0,0.0,0.0,0.621,0,0.0,0.0,False
reference,totals|B|kmulti_minus_drives_total,prior_week,557,0.3528,0.9835,-2.565,-5.7628,53.3945,1.891,277,-0.0758,-0.2253,-4.831,-10.9287,1.1287,0,0.0,0.0,0.9835,0,0.0,0.0,False
reference,totals|A|kmulti_minus_explosive_total,prior_week,557,0.2917,0.8201,-2.9074,-6.6014,50.0917,-4.279,277,0.2383,0.6724,-3.2055,-1.2577,0.7464,0,0.0,0.0,0.8201,0,0.0,0.0,False
reference,totals|A|kmulti_minus_field_position_total,prior_week,557,0.2092,0.5671,-3.406,-7.7401,48.9908,-6.3239,277,0.1264,0.3694,-3.7399,-4.0263,0.5281,0,0.0,0.0,0.5671,0,0.0,0.0,False
reference,totals|B|kmulti_minus_field_position_total,prior_week,557,0.3043,0.8476,-2.7991,-6.5747,52.6606,0.5443,277,-0.0433,-0.149,-4.6732,-10.9287,1.235,0,0.0,0.0,0.8476,0,0.0,0.0,False
reference,totals|A|kmulti_minus_k2_total,prior_week,557,0.211,0.5788,-3.4118,-7.5268,49.9083,-4.6216,277,0.1769,0.489,-3.5307,-2.6289,0.5963,0,0.0,0.0,0.5788,0,0.0,0.0,False
reference,totals|B|kmulti_minus_k2_total,prior_week,557,0.2971,0.8224,-2.8255,-6.9241,52.1101,-0.4692,277,-0.0686,-0.2129,-4.8205,-8.1659,1.0704,0,0.0,0.0,0.8224,0,0.0,0.0,False
reference,totals|A|kmulti_minus_pass_epa_total,prior_week,557,0.2145,0.5805,-3.4313,-7.6252,48.4404,-7.3964,277,0.2022,0.5736,-3.3062,-3.3371,0.6885,0,0.0,0.0,0.5805,0,0.0,0.0,False
reference,totals|B|kmulti_minus_pass_epa_total,prior_week,557,0.272,0.7578,-2.9944,-6.7817,52.6606,0.5334,277,-0.065,-0.213,-4.839,-8.1719,1.1048,0,0.0,0.0,0.7578,0,0.0,0.0,False
reference,totals|A|kmulti_minus_rush_epa_total,prior_week,557,0.2487,0.6766,-3.2162,-7.8899,51.1927,-2.228,277,0.2238,0.6283,-3.3301,2.8622,0.6228,0,0.0,0.0,0.6766,0,0.0,0.0,False
reference,totals|A|kmulti_minus_success_total,prior_week,557,0.2145,0.586,-3.4367,-7.8509,51.1927,-2.2453,277,0.2022,0.5698,-3.4294,-1.9338,0.6039,0,0.0,0.0,0.586,0,0.0,0.0,False
reference,totals|B|kmulti_minus_success_total,prior_week,557,0.2935,0.8091,-2.8927,-7.6398,54.1284,3.2597,277,-0.0469,-0.1464,-4.6874,-9.5413,0.9331,0,0.0,0.0,0.8091,0,0.0,0.0,False
reference,totals|A|kmulti_minus_tempo_total,prior_week,557,0.2361,0.6502,-3.2694,-7.5442,50.2752,-3.9255,277,0.1949,0.545,-3.4956,0.8231,0.6369,0,0.0,0.0,0.6502,0,0.0,0.0,False
reference,totals|B|kmulti_minus_tempo_total,prior_week,557,0.3474,0.9689,-2.6032,-5.6001,53.211,1.5483,277,-0.0686,-0.2022,-4.7798,-10.9287,1.1367,0,0.0,0.0,0.9689,0,0.0,0.0,False
reference,totals|A|kmulti_minus_turnover_total,prior_week,557,0.2397,0.6583,-3.2557,-7.4271,50.8257,-2.8856,277,0.2202,0.6157,-3.3787,0.1278,0.5958,0,0.0,0.0,0.6583,0,0.0,0.0,False
reference,totals|A|kmulti_rush_epa_total,prior_week,557,0.0996,0.2741,-4.0156,-10.6039,50.6422,-3.3015,277,0.0361,0.1097,-4.2336,-1.2828,0.1989,0,0.0,0.0,0.2741,0,0.0,0.0,False
reference,totals|A|kmulti_success_total,prior_week,557,0.2648,0.7399,-3.1079,-7.127,48.9908,-6.3852,277,0.0217,0.068,-4.2426,6.3105,0.917,0,0.0,0.0,0.7399,0,0.0,0.0,False
reference,totals|A|kmulti_turnover_total,prior_week,557,0.1158,0.3191,-3.8743,-10.9938,51.0092,-2.5817,277,0.0397,0.1161,-4.2113,-5.4399,0.2442,0,0.0,0.0,0.3191,0,0.0,0.0,False
reference,totals|A|market_anchor,opener,557,0.132,0.3577,-3.765,-10.314,51.1927,-2.2097,277,0.0397,0.1275,-4.1851,-4.7379,0.2669,0,0.0,0.0,0.3577,0,0.0,0.0,False
reference,totals|B|market_anchor,opener,0,,,,,,,0,,,,,,0,0.0,0.0,,0,0.0,0.0,False
reference,totals|C|market_anchor,opener,0,,,,,,,0,,,,,,0,0.0,0.0,,0,0.0,0.0,False
reference,totals|A|market_regression,opener,557,0.132,0.3577,-3.765,-10.314,51.1927,-2.2097,277,0.0397,0.1275,-4.1851,-4.7379,0.2669,0,0.0,0.0,0.3577,0,0.0,0.0,False
reference,totals|B|market_regression,opener,0,,,,,,,0,,,,,,0,0.0,0.0,,0,0.0,0.0,False
reference,totals|C|market_regression,opener,0,,,,,,,0,,,,,,0,0.0,0.0,,0,0.0,0.0,False
