read_at	http	secs	uptime_s	derived_start	crossed	interval_s
2026-09-20T02:02:24Z	200	0.626376	31	2026-09-20T02:01:54Z	ok	60
2026-09-20T02:03:24Z	200	0.352858	91	2026-09-20T02:01:53Z	ok	60
2026-09-20T02:04:24Z	000	25.001096				60
2026-09-20T02:05:24Z	200	0.558542	43	2026-09-20T02:04:42Z	ok	60
2026-09-20T02:06:24Z	200	0.425516	103	2026-09-20T02:04:41Z	ok	60
2026-09-20T02:07:24Z	000	25.001233				60
2026-09-20T02:08:24Z	200	0.369764	47	2026-09-20T02:07:37Z	ok	60
2026-09-20T02:09:24Z	000	25.001849				60
2026-09-20T02:10:24Z	000	25.001583				60
2026-09-20T02:11:24Z	200	0.392518	50	2026-09-20T02:10:35Z	ok	60
2026-09-20T02:12:24Z	000	25.001636				60
2026-09-20T02:13:24Z	200	12.763386	12	2026-09-20T02:13:25Z	ok	60
2026-09-20T02:14:24Z	200	0.346999	60	2026-09-20T02:13:24Z	ok	60
2026-09-20T02:15:24Z	000	25.001835				60
2026-09-20T02:16:24Z	200	22.215937	17	2026-09-20T02:16:29Z	crossed	60
2026-09-20T02:17:24Z	200	0.380148	56	2026-09-20T02:16:29Z	ok	60
2026-09-20T02:18:24Z	000	25.002093				60
2026-09-20T02:19:24Z	200	14.995729	11	2026-09-20T02:19:28Z	crossed	60
2026-09-20T02:20:24Z	200	0.375700	57	2026-09-20T02:19:27Z	ok	60
2026-09-20T02:21:24Z	000	25.000862				60
2026-09-20T02:22:24Z	200	15.402645	12	2026-09-20T02:22:27Z	crossed	60
2026-09-20T02:23:24Z	200	0.520862	57	2026-09-20T02:22:28Z	ok	60
2026-09-20T02:24:24Z	000	25.001891				60
2026-09-20T02:25:24Z	200	16.558287	12	2026-09-20T02:25:28Z	crossed	60
2026-09-20T02:26:24Z	200	0.448674	57	2026-09-20T02:25:28Z	ok	60
2026-09-20T02:27:24Z	000	25.002416				60
2026-09-20T02:28:24Z	200	21.753965	17	2026-09-20T02:28:29Z	crossed	60
2026-09-20T02:29:24Z	200	0.370829	56	2026-09-20T02:28:28Z	ok	60
2026-09-20T02:30:24Z	000	25.001469				60
2026-09-20T02:31:24Z	200	17.479773	14	2026-09-20T02:31:28Z	crossed	60
2026-09-20T02:32:24Z	200	0.403606	56	2026-09-20T02:31:28Z	ok	60
2026-09-20T02:33:24Z	000	25.001679				60
2026-09-20T02:34:24Z	200	19.434667	15	2026-09-20T02:34:28Z	crossed	60
2026-09-20T02:35:24Z	200	0.470507	57	2026-09-20T02:34:27Z	ok	60
2026-09-20T02:36:24Z	000	25.001481				60
2026-09-20T02:37:24Z	200	13.979930	10	2026-09-20T02:37:28Z	crossed	60
2026-09-20T02:38:24Z	200	0.386189	57	2026-09-20T02:37:27Z	ok	60
2026-09-20T02:39:24Z	000	25.001943				60
2026-09-20T02:40:24Z	200	17.244540	13	2026-09-20T02:40:29Z	crossed	60
2026-09-20T02:41:24Z	200	0.411445	56	2026-09-20T02:40:28Z	ok	60
2026-09-20T02:42:24Z	000	25.002299				60
2026-09-20T02:43:24Z	200	15.523995	12	2026-09-20T02:43:28Z	crossed	60
2026-09-20T02:44:24Z	200	0.375557	56	2026-09-20T02:43:28Z	ok	60
2026-09-20T02:45:24Z	000	25.001315				60
2026-09-20T02:46:24Z	200	15.844915	12	2026-09-20T02:46:28Z	crossed	60
2026-09-20T02:47:24Z	200	0.271739	56	2026-09-20T02:46:29Z	ok	60
2026-09-20T02:48:24Z	000	25.001448				60
2026-09-20T02:49:24Z	200	13.881130	10	2026-09-20T02:49:28Z	crossed	60
2026-09-20T02:50:24Z	200	0.345557	56	2026-09-20T02:49:28Z	ok	60
2026-09-20T02:51:24Z	000	25.002131				60
2026-09-20T02:52:24Z	200	14.079731	10	2026-09-20T02:52:28Z	crossed	60
2026-09-20T02:53:24Z	200	1.413238	58	2026-09-20T02:52:28Z	ok	60
2026-09-20T02:54:24Z	000	25.002716				60
2026-09-20T02:55:24Z	200	16.322877	13	2026-09-20T02:55:27Z	crossed	60
2026-09-20T02:56:24Z	200	0.412430	57	2026-09-20T02:55:28Z	ok	60
2026-09-20T02:57:24Z	000	25.002450				60
2026-09-20T02:58:24Z	200	17.194246	14	2026-09-20T02:58:27Z	crossed	60
2026-09-20T02:59:24Z	200	0.419700	57	2026-09-20T02:58:27Z	ok	60
2026-09-20T03:00:24Z	000	25.001431				60
2026-09-20T03:01:24Z	200	19.480467	16	2026-09-20T03:01:27Z	crossed	60
2026-09-20T03:02:24Z	200	0.572172	57	2026-09-20T03:01:28Z	ok	60
2026-09-20T03:03:24Z	000	25.002762				60
2026-09-20T03:04:24Z	200	22.159844	18	2026-09-20T03:04:28Z	crossed	60
2026-09-20T03:05:24Z	200	0.375835	57	2026-09-20T03:04:28Z	ok	60
2026-09-20T03:06:24Z	000	25.002021				60
