read_at	http	secs	uptime_s	derived_start	crossed	interval_s
2026-09-20T12:03:48Z	200	20.048180	14	2026-09-20T12:03:54Z	crossed	60
2026-09-20T12:04:48Z	200	0.383129	55	2026-09-20T12:03:54Z	ok	60
2026-09-20T12:05:48Z	000	25.001073				60
2026-09-20T12:06:48Z	200	14.104970	10	2026-09-20T12:06:52Z	crossed	60
2026-09-20T12:07:48Z	200	0.333240	56	2026-09-20T12:06:53Z	ok	60
2026-09-20T12:08:48Z	000	25.002607				60
2026-09-20T12:09:48Z	200	9.890943	18	2026-09-20T12:09:40Z	ok	60
2026-09-20T12:10:48Z	200	0.388902	68	2026-09-20T12:09:40Z	ok	60
2026-09-20T12:11:48Z	000	25.001823				60
2026-09-20T12:12:48Z	200	0.364346	13	2026-09-20T12:12:36Z	ok	60
2026-09-20T12:13:48Z	200	0.371902	73	2026-09-20T12:12:35Z	ok	60
2026-09-20T12:14:48Z	000	25.002699				60
2026-09-20T12:15:48Z	200	0.350382	25	2026-09-20T12:15:24Z	ok	60
2026-09-20T12:16:48Z	200	0.364884	84	2026-09-20T12:15:24Z	ok	60
2026-09-20T12:17:48Z	000	25.002586				60
2026-09-20T12:18:48Z	200	0.489089	35	2026-09-20T12:18:14Z	ok	60
2026-09-20T12:19:48Z	200	0.405012	95	2026-09-20T12:18:13Z	ok	60
2026-09-20T12:20:48Z	000	25.002325				60
2026-09-20T12:21:48Z	200	0.342962	46	2026-09-20T12:21:02Z	ok	60
2026-09-20T12:22:48Z	000	25.000722				60
2026-09-20T12:23:48Z	200	20.877601	12	2026-09-20T12:23:57Z	crossed	60
2026-09-20T12:24:48Z	200	0.415934	52	2026-09-20T12:23:56Z	ok	60
2026-09-20T12:25:48Z	000	25.002181				60
2026-09-20T12:26:48Z	200	16.975593	14	2026-09-20T12:26:51Z	crossed	60
2026-09-20T12:27:48Z	200	0.353258	57	2026-09-20T12:26:51Z	ok	60
2026-09-20T12:28:48Z	000	25.002557				60
2026-09-20T12:29:48Z	200	17.491202	13	2026-09-20T12:29:53Z	crossed	60
2026-09-20T12:30:48Z	200	0.503956	56	2026-09-20T12:29:52Z	ok	60
2026-09-20T12:31:48Z	000	25.001985				60
2026-09-20T12:32:48Z	200	11.114283	19	2026-09-20T12:32:40Z	ok	60
2026-09-20T12:33:48Z	200	0.385579	68	2026-09-20T12:32:40Z	ok	60
2026-09-20T12:34:48Z	000	25.001868				60
2026-09-20T12:35:48Z	200	0.381484	13	2026-09-20T12:35:36Z	ok	60
2026-09-20T12:36:48Z	200	0.421310	72	2026-09-20T12:35:36Z	ok	60
2026-09-20T12:37:48Z	000	25.002592				60
2026-09-20T12:38:48Z	200	0.356688	23	2026-09-20T12:38:26Z	ok	60
2026-09-20T12:39:48Z	200	0.726088	83	2026-09-20T12:38:26Z	ok	60
2026-09-20T12:40:48Z	000	25.002291				60
2026-09-20T12:41:48Z	200	0.399892	34	2026-09-20T12:41:14Z	ok	60
2026-09-20T12:42:48Z	200	0.381529	94	2026-09-20T12:41:15Z	ok	60
2026-09-20T12:43:48Z	000	25.002791				60
2026-09-20T12:44:48Z	200	0.381299	47	2026-09-20T12:44:01Z	ok	60
2026-09-20T12:45:48Z	000	25.002525				60
2026-09-20T12:46:48Z	200	15.989434	12	2026-09-20T12:46:52Z	crossed	60
2026-09-20T12:47:48Z	200	0.422554	56	2026-09-20T12:46:52Z	ok	60
2026-09-20T12:48:48Z	000	25.001527				60
2026-09-20T12:49:48Z	200	11.818266	19	2026-09-20T12:49:41Z	ok	60
2026-09-20T12:50:48Z	200	0.322750	67	2026-09-20T12:49:41Z	ok	60
2026-09-20T12:51:48Z	000	25.001921				60
2026-09-20T12:52:48Z	200	3.657846	17	2026-09-20T12:52:34Z	ok	60
2026-09-20T12:53:48Z	200	0.370932	74	2026-09-20T12:52:35Z	ok	60
2026-09-20T12:54:48Z	000	25.001646				60
2026-09-20T12:55:48Z	200	0.218317	22	2026-09-20T12:55:26Z	ok	60
2026-09-20T12:56:48Z	200	0.500808	82	2026-09-20T12:55:27Z	ok	60
2026-09-20T12:57:48Z	000	25.001428				60
2026-09-20T12:58:48Z	200	0.336915	28	2026-09-20T12:58:20Z	ok	60
2026-09-20T12:59:48Z	200	0.346579	89	2026-09-20T12:58:20Z	ok	60
2026-09-20T13:00:48Z	000	25.001478				60
2026-09-20T13:01:48Z	200	0.400612	39	2026-09-20T13:01:09Z	ok	60
2026-09-20T13:02:48Z	200	0.372673	100	2026-09-20T13:01:09Z	ok	60
2026-09-20T13:03:48Z	000	25.001118				60
