table,pick_path_status,pick_path_readers,other_prod_readers
nfl_qbr_weekly,used-in-pick-path,server/services/nfl-qbr.js;server/services/projections.js,server/services/nfl-data-consistency.js;server/services/nfl-qb-quality.js;scripts/analyze-qbr-fantasy-signal.mjs;scripts/export-qb-quality-features.mjs
nfl_quote_batches,used-in-pick-path,server/services/nfl-advanced.js;server/services/nfl-t60-packet.js,server/migrations/021_quote_tape_batch_index.js;server/migrations/032_quote_receipt_clock.js;server/migrations/041_nfl_replay_run_spec.js;server/migrations/052_line_snapshot_receipt_clock.js
nfl_quote_tape,used-in-pick-path,server/services/date-util.js;server/services/nfl-t60-packet.js,server/betting/nfl/strategy/t60-runner.js;server/betting/nfl/strategy/teaser-scan.js;server/betting/nfl/strategy/teaser-season.js;server/migrations/021_quote_tape_batch_index.js
nfl_replay_bets,used-in-pick-path,server/services/nfl-replay.js,server/services/pick-confidence.js;scripts/run-historical-leaderboard.mjs
nfl_replay_runs,used-in-pick-path,server/services/nfl-replay.js,server/migrations/041_nfl_replay_run_spec.js;server/services/nfl-evidence.js
nfl_residual_audits,used-outside-pick-path,,server/services/nfl-research.js;scripts/backfill-historical-trial-registry.mjs
nfl_risk_lab_artifacts,used-in-pick-path,server/services/nfl-engine-registry.js,server/services/nfl-risk-lab.js
nfl_risk_lab_predictions,used-outside-pick-path,,server/services/nfl-risk-lab.js
nfl_rookie_evidence,used-in-pick-path,server/services/nfl-rookies.js;server/services/nfl-roster-strength.js,server/services/nfl-blind-audit.js;server/services/nfl-offseason-cycle.js;server/services/nfl-rookie-ingest.js
nfl_roster_snapshots,used-outside-pick-path,,server/services/draft-assist.js;server/services/nfl-blind-audit.js;server/services/nfl-player-state.js;server/services/offseason-model.js
nfl_rule_state,used-outside-pick-path,,server/services/beat-the-close.js
nfl_scottfree_game_features,used-outside-pick-path,,server/migrations/022_scottfree_game_features.js;scripts/import-scottfree.mjs
nfl_sgp_quotes,used-outside-pick-path,,server/migrations/014_profit_execution_triggers.js;server/services/nfl-prop-correlation.js
nfl_signal_reliability_artifacts,used-in-pick-path,server/services/nfl-engine-registry.js;server/services/nfl-signal-reliability.js,
nfl_signal_snapshots,used-outside-pick-path,,server/services/beat-the-close.js;server/services/nfl-weather.js;scripts/_prepare-validation-db.mjs
nfl_sim_calibration_artifacts,used-outside-pick-path,,server/services/nfl-sim-calibration.js
nfl_snaps,used-in-pick-path,server/services/nfl-advanced.js;server/services/nfl-availability.js;server/services/nfl-bitemporal.js;server/services/nfl-engine-registry.js,server/services/nfl-blind-audit.js;server/services/nfl-data-consistency.js;server/services/nfl-engine-backfill.js;server/services/nfl-evidence.js
nfl_source_registry,used-outside-pick-path,,server/services/nfl-evidence.js
nfl_stadiums,used-in-pick-path,server/services/nfelo.js,
nfl_t60_observations,used-outside-pick-path,,server/betting/nfl/strategy/t60-runner.js;server/migrations/034_t60_runner_ledger.js;server/migrations/036_t60_packet_body.js;server/services/nfl-execution-pipeline.js
nfl_team_cards,used-outside-pick-path,,server/services/nfl-blind-audit.js;server/services/nfl-orthogonal-specialists.js;server/services/nfl-team-card.js
nfl_team_coaches,used-in-pick-path,server/services/nfl-coaches.js;server/services/scheduler.js,server/services/nfl-blind-audit.js;server/services/nfl-team-card.js;server/services/offseason-model.js
nfl_team_feature_vectors,used-outside-pick-path,,server/services/nfl-blind-audit.js;server/services/nfl-model-growth.js;server/services/nfl-weekly-feature-store.js
nfl_team_stadiums,used-in-pick-path,server/services/nfelo.js,
nfl_team_week_features,used-in-pick-path,server/services/football-context.js;server/services/nfl-advanced.js;server/services/nfl-auto-picks.js;server/services/nfl-engine-registry.js,server/routes/nfl-betting.js;server/routes/nfl-market.js;server/routes/trades.js;server/services/audit-registry.js
nfl_teams,used-in-pick-path,server/services/book-feeds.js;server/services/football-context.js;server/services/matchups.js;server/services/nfl-coaches.js,server/db/seed/index.js;server/migrations/001_baseline_marker.js;server/migrations/052_line_snapshot_receipt_clock.js;server/news/ingest.js
